	ORF1ab	Surface_glycoprotein	ORF3a	Envelope_protein	Membrane_glycoprotein	ORF6	ORF7a	ORF8	Nucleocapsid_phosphoprotein	ORF10	ST	Total
end_jan	5	3	2	1	2	1	1	2	3	1	5	6
Feb	6	4	2	1	1	1	1	2	2	1	8	9
mid_Mar	47	14	8	1	6	2	2	5	9	5	60	74
end_Mar	143	44	22	5	10	3	11	10	29	3	186	289
mid_Apr	144	32	25	3	12	5	12	11	19	4	168	251
end_Apr	88	29	14	1	5	5	5	6	15	3	109	151
mid_May	54	19	7	3	4	2	4	4	12	2	64	90
end_May_mid_June	18	6	5	1	1	1	1	2	7	1	18	18
end_June	40	25	13	1	6	5	5	5	19	1	44	52
########################
	ORF1ab	Surface_glycoprotein	ORF3a	Envelope_protein	Membrane_glycoprotein	ORF6	ORF7a	ORF8	Nucleocapsid_phosphoprotein	ORF10	ST	Total
end_jan	0.83	0.50	0.33	0.17	0.33	0.17	0.17	0.33	0.50	0.17	0.83	6
Feb	0.67	0.44	0.22	0.11	0.11	0.11	0.11	0.22	0.22	0.11	0.89	9
mid_Mar	0.64	0.19	0.11	0.01	0.08	0.03	0.03	0.07	0.12	0.07	0.81	74
end_Mar	0.49	0.15	0.08	0.02	0.03	0.01	0.04	0.03	0.10	0.01	0.64	289
mid_Apr	0.57	0.13	0.10	0.01	0.05	0.02	0.05	0.04	0.08	0.02	0.67	251
end_Apr	0.58	0.19	0.09	0.01	0.03	0.03	0.03	0.04	0.10	0.02	0.72	151
mid_May	0.60	0.21	0.08	0.03	0.04	0.02	0.04	0.04	0.13	0.02	0.71	90
end_May_mid_June	1.00	0.33	0.28	0.06	0.06	0.06	0.06	0.11	0.39	0.06	1.00	18
end_June	0.77	0.48	0.25	0.02	0.12	0.10	0.10	0.10	0.37	0.02	0.85	52
