Isolate	Date	Country	Region	ORF1ab	Surface_glycoprotein	ORF3a	Envelope_protein	Membrane_glycoprotein	ORF6	ORF7a	ORF8	Nucleocapsid_phosphoprotein	ORF10	ST	CC
hCoV-19/Wuhan/IPBCAMS-WH-01/2019|EPI_ISL_402123|2019-12-24	2019-12-24	China	Asia	1	1	1	1	1	1	1	1	1	1	1	4
hCoV-19/Wuhan/WH01/2019|EPI_ISL_406798|2019-12-26	2019-12-26	China	Asia	2	1	1	1	1	1	1	1	1	1	2	4
hCoV-19/Wuhan/IPBCAMS-WH-03/2019|EPI_ISL_403930|2019-12-30	2019-12-30	China	Asia	3	1	1	1	1	1	1	1	1	1	3	4
hCoV-19/Wuhan/WIV06/2019|EPI_ISL_402129|2019-12-30	2019-12-30	China	Asia	4	1	1	1	1	1	1	1	1	1	4	4
hCoV-19/Wuhan/WIV02/2019|EPI_ISL_402127|2019-12-30	2019-12-30	China	Asia	5	2	1	1	1	1	1	1	1	1	5	750
hCoV-19/Wuhan/HBCDC-HB-02/2019|EPI_ISL_412898|2019-12-30	2019-12-30	China	Asia	4	2	1	1	1	1	1	1	1	1	6	750
hCoV-19/Wuhan/WIV07/2019|EPI_ISL_402130|2019-12-30	2019-12-30	China	Asia	6	1	1	1	1	1	1	1	1	1	7	4
hCoV-19/Wuhan/IPBCAMS-WH-02/2019|EPI_ISL_403931|2019-12-30	2019-12-30	China	Asia	4	1	1	1	1	1	1	1	1	1	4	4
hCoV-19/Wuhan/HBCDC-HB-03/2019|EPI_ISL_412899|2019-12-30	2019-12-30	China	Asia	4	1	1	1	1	1	1	1	1	1	4	4
hCoV-19/Wuhan/IVDC-HB-05/2019|EPI_ISL_402121|2019-12-30	2019-12-30	China	Asia	7	1	1	1	1	1	1	1	1	1	8	4
hCoV-19/Wuhan/IPBCAMS-WH-04/2019|EPI_ISL_403929|2019-12-30	2019-12-30	China	Asia	4	1	1	1	1	1	1	1	1	1	4	4
hCoV-19/Wuhan/WIV05/2019|EPI_ISL_402128|2019-12-30	2019-12-30	China	Asia	8	1	1	1	1	1	1	1	1	1	9	4
hCoV-19/Wuhan/IVDC-HB-01/2019|EPI_ISL_402119|2019-12-30	2019-12-30	China	Asia	4	1	1	1	1	1	1	1	1	1	4	4
hCoV-19/Wuhan/WIV04/2019|EPI_ISL_402124|2019-12-30	2019-12-30	China	Asia	4	1	1	1	1	1	1	1	1	1	4	4
hCoV-19/Wuhan/IVDC-HB-GX02/2019|EPI_ISL_434534|2019-12-30	2019-12-30	China	Asia	4	2	1	1	1	1	1	1	1	1	6	750
hCoV-19/Wuhan/HBCDC-HB-01/2019|EPI_ISL_402132|2019-12-30	2019-12-30	China	Asia	4	3	1	1	1	1	1	1	1	1	10	750
hCoV-19/Wuhan-Hu-1/2019|EPI_ISL_402125|2019-12-31	2019-12-31	China	Asia	4	1	1	1	1	1	1	1	1	1	4	4
hCoV-19/env/Wuhan/IVDC-HBF13-21/2020|EPI_ISL_408515|2020-01-01	2020-01-01	China	Asia	9	1	1	1	1	1	1	1	2	1	11	4
hCoV-19/Wuhan/WH03/2020|EPI_ISL_406800|2020-01-01	2020-01-01	China	Asia	4	1	1	1	1	1	1	1	1	1	4	4
hCoV-19/Wuhan/IPBCAMS-WH-05/2020|EPI_ISL_403928|2020-01-01	2020-01-01	China	Asia	10	1	1	1	1	1	1	1	1	1	12	4
hCoV-19/Wuhan/IVDC-HB-04/2020|EPI_ISL_402120|2020-01-01	2020-01-01	China	Asia	4	1	1	1	1	1	2	2	1	1	13	4
hCoV-19/env/Wuhan/IVDC-HBF13-20/2020|EPI_ISL_408514|2020-01-01	2020-01-01	China	Asia	4	1	1	1	1	1	1	1	1	1	4	4
