Isolate	Date	Country	Region	ORF1ab	Surface_glycoprotein	ORF3a	Envelope_protein	Membrane_glycoprotein	ORF6	ORF7a	ORF8	Nucleocapsid_phosphoprotein	ORF10	ST	CC
hCoV-19/USA/CA-CZB-1090/2020|EPI_ISL_444024|2020-05-01	5/1/20	USA	North America	4034	1	1	1	1	1	1	1	1	1	5488	4
hCoV-19/USA/CA-CZB-1478/2020|EPI_ISL_468430|2020-05-01	5/1/20	USA	North America	6485	872	25	1	1	1	1	1	1	1	8801	NA
hCoV-19/USA/CA-CZB-1481/2020|EPI_ISL_468432|2020-05-01	5/1/20	USA	North America	6485	872	25	1	1	1	1	1	1	1	8801	NA
hCoV-19/USA/CA-CZB-1484/2020|EPI_ISL_468435|2020-05-01	5/1/20	USA	North America	6485	872	25	1	1	1	1	1	349	1	8814	NA
hCoV-19/USA/CA-CZB-1621/2020|EPI_ISL_468550|2020-05-01	5/1/20	USA	North America	6500	26	354	1	1	1	175	1	1	1	8822	NA
hCoV-19/USA/CA-ALSR-0934-SAN/2020|EPI_ISL_483423|2020-05-01	5/1/20	USA	North America	9044	26	1	1	1	1	1	1	4	1	12255	498
hCoV-19/USA/CA-ALSR-0555-SAN/2020|EPI_ISL_483220|2020-05-01	5/1/20	USA	North America	3948	26	25	1	1	1	1	1	1	1	5435	258
hCoV-19/USA/CA-ALSR-0674-IPL/2020|EPI_ISL_483293|2020-05-01	5/1/20	USA	North America	3291	26	1	1	1	1	1	1	4	1	12260	498
hCoV-19/USA/CA-ALSR-0930-IPL/2020|EPI_ISL_483419|2020-05-01	5/1/20	USA	North America	9049	952	25	1	1	1	1	1	1	1	12261	NA
hCoV-19/USA/CA-ALSR-0843-IPL/2020|EPI_ISL_483394|2020-05-01	5/1/20	USA	North America	9050	792	1	1	1	1	1	1	4	1	12262	10221
hCoV-19/USA/CA-ALSR-0754-IPL/2020|EPI_ISL_483334|2020-05-01	5/1/20	USA	North America	9050	792	1	1	1	1	1	1	4	1	12262	10221
hCoV-19/USA/CA-ALSR-0668-SAN/2020|EPI_ISL_483290|2020-05-01	5/1/20	USA	North America	9044	26	1	1	1	1	1	1	4	1	12255	498
hCoV-19/USA/CA-ALSR-0901-SAN/2020|EPI_ISL_483404|2020-05-01	5/1/20	USA	North America	9061	26	1	1	1	1	1	1	4	1	12274	498
hCoV-19/USA/CA-CZB-2017/2020|EPI_ISL_486270|2020-05-01	5/1/20	USA	North America	9013	1074	1	1	1	1	1	1	39	1	12206	300
hCoV-19/USA/CA-ALSR-0667-IPL/2020|EPI_ISL_483289|2020-05-01	5/1/20	USA	North America	9049	952	25	1	1	1	1	1	1	1	12261	NA
hCoV-19/USA/CA-CZB-1528/2020|EPI_ISL_468473|2020-05-03	5/3/20	USA	North America	850	26	25	1	1	1	1	1	1	1	1123	258
hCoV-19/USA/CA-ALSR-0925-IPL/2020|EPI_ISL_483416|2020-05-03	5/3/20	USA	North America	231	26	1	1	1	1	1	1	4	1	498	498
hCoV-19/USA/CA-ALSR-0753-IPL/2020|EPI_ISL_483333|2020-05-03	5/3/20	USA	North America	231	26	1	1	1	1	1	1	4	1	498	498
hCoV-19/USA/CA-ALSR-0752-IPL/2020|EPI_ISL_483332|2020-05-03	5/3/20	USA	North America	8985	792	1	1	1	1	1	1	4	1	12166	10221
hCoV-19/USA/CA-ALSR-0923-IPL/2020|EPI_ISL_483415|2020-05-03	5/3/20	USA	North America	8985	792	1	1	1	1	1	1	4	1	12166	10221
hCoV-19/USA/CA-SR0217/2020|EPI_ISL_445118|2020-05-04	5/4/20	USA	North America	3977	817	1	1	1	1	1	1	4	1	5510	10221
hCoV-19/USA/CA-ALSR-0530-SAN/2020|EPI_ISL_483204|2020-05-04	5/4/20	USA	North America	3852	26	25	1	1	1	1	1	1	1	5243	258
hCoV-19/USA/CA-CZB-2082/2020|EPI_ISL_486325|2020-05-04	5/4/20	USA	North America	6668	1607	1	1	1	1	1	1	1	1	11743	681
hCoV-19/USA/CA-ALSR-0548-IPL/2020|EPI_ISL_483215|2020-05-04	5/4/20	USA	North America	3291	26	1	1	1	1	1	1	4	1	12260	498
hCoV-19/USA/CA-ALSR-0725-IPL/2020|EPI_ISL_483326|2020-05-04	5/4/20	USA	North America	9018	26	25	1	103	1	1	1	1	1	12212	258
hCoV-19/USA/CA-ALSR-0543-SAN/2020|EPI_ISL_483213|2020-05-04	5/4/20	USA	North America	9129	240	1	1	1	1	1	1	956	1	12362	NA
hCoV-19/USA/CA-ALSR-0553-IPL/2020|EPI_ISL_483219|2020-05-04	5/4/20	USA	North America	3291	26	1	1	1	1	1	1	4	1	12260	498
hCoV-19/USA/CA-CZB-2086/2020|EPI_ISL_486329|2020-05-04	5/4/20	USA	North America	9135	132	1	1	1	1	1	1	1	1	12369	681
hCoV-19/USA/CA-ALSR-0680-SAN/2020|EPI_ISL_483297|2020-05-04	5/4/20	USA	North America	3972	1690	25	1	1	1	1	1	1	1	12375	258
hCoV-19/USA/CA-ALSR-0724-IPL/2020|EPI_ISL_483325|2020-05-04	5/4/20	USA	North America	3291	26	1	1	1	1	1	1	4	1	12260	498
hCoV-19/USA/CA-ALSR-0532-SAN/2020|EPI_ISL_483206|2020-05-04	5/4/20	USA	North America	3972	1690	25	1	1	1	1	1	1	1	12375	258
hCoV-19/USA/CA-ALSR-0722-SAN/2020|EPI_ISL_483324|2020-05-04	5/4/20	USA	North America	3291	26	1	1	1	1	1	1	4	1	12260	498
hCoV-19/USA/CA-CZB-1526/2020|EPI_ISL_468472|2020-05-05	5/5/20	USA	North America	6609	26	1	1	1	1	1	1	723	1	8973	300
hCoV-19/USA/CA-11567/2020|EPI_ISL_475232|2020-05-05	5/5/20	USA	North America	9161	694	1	11	1	1	1	1	959	1	12407	NA
