Isolate	Date	Country	Region	ORF1ab	Surface_glycoprotein	ORF3a	Envelope_protein	Membrane_glycoprotein	ORF6	ORF7a	ORF8	Nucleocapsid_phosphoprotein	ORF10	ST	CC
hCoV-19/USA/CA-CZB-1035/2020|EPI_ISL_436676|2020-04-01	4/1/20	USA	North America	2840	1	1	1	1	1	85	1	1	1	3904	4
hCoV-19/USA/CA-CZB-1002/2020|EPI_ISL_436643|2020-04-01	4/1/20	USA	North America	4	1	252	1	1	1	1	1	1	1	3799	4
hCoV-19/USA/CA-CZB-1004/2020|EPI_ISL_436645|2020-04-01	4/1/20	USA	North America	4	1	252	1	1	1	1	1	1	1	3799	4
hCoV-19/USA/CA-CZB-1032/2020|EPI_ISL_436673|2020-04-01	4/1/20	USA	North America	2840	1	1	1	1	1	1	1	1	1	4013	4
hCoV-19/USA/CA-CZB-1602/2020|EPI_ISL_468531|2020-04-01	4/1/20	USA	North America	194	1	1	1	1	1	1	3	1	1	256	256
hCoV-19/USA/CA-CZB-1138/2020|EPI_ISL_447889|2020-04-01	4/1/20	USA	North America	5201	26	263	1	1	1	1	14	1	1	7109	768
hCoV-19/USA/CA-SR0382/2020|EPI_ISL_458262|2020-04-01	4/1/20	USA	North America	5216	26	25	1	1	1	1	1	1	1	7131	258
hCoV-19/USA/CA-CZB-1684/2020|EPI_ISL_468622|2020-04-01	4/1/20	USA	North America	5056	26	25	1	1	1	1	1	1	1	6901	258
hCoV-19/USA/CA-CSMC57/2020|EPI_ISL_475670|2020-04-01	4/1/20	USA	North America	7720	26	25	1	1	1	1	1	1	1	10475	258
hCoV-19/USA/CA-CSMC53/2020|EPI_ISL_475666|2020-04-01	4/1/20	USA	North America	7728	1	593	1	1	1	150	1	1	1	10485	NA
hCoV-19/USA/CA-CSMC49/2020|EPI_ISL_475661|2020-04-01	4/1/20	USA	North America	3610	26	25	1	1	1	1	1	1	1	10491	258
hCoV-19/USA/CA-CSMC42/2020|EPI_ISL_475654|2020-04-01	4/1/20	USA	North America	7731	1	1	1	228	1	12	8	1	1	10492	NA
hCoV-19/USA/CA-ALSR-0492-SAN/2020|EPI_ISL_483177|2020-04-01	4/1/20	USA	North America	791	26	25	1	1	1	1	1	1	1	1040	258
hCoV-19/USA/CA-ALSR-0499-SAN/2020|EPI_ISL_483183|2020-04-01	4/1/20	USA	North America	1245	26	25	1	1	1	1	1	826	1	10496	258
hCoV-19/USA/CA-CSMC62/2020|EPI_ISL_475676|2020-04-01	4/1/20	USA	North America	7734	26	25	1	229	89	1	1	1	1	10498	NA
hCoV-19/USA/CA-CSMC58/2020|EPI_ISL_475671|2020-04-01	4/1/20	USA	North America	7736	26	1	1	1	1	1	1	39	1	10500	300
hCoV-19/USA/CA-CSMC11/2020|EPI_ISL_475585|2020-04-01	4/1/20	USA	North America	258	26	25	1	1	1	1	1	1	1	338	338
hCoV-19/USA/CA-CSMC43/2020|EPI_ISL_475655|2020-04-01	4/1/20	USA	North America	195	26	25	1	1	1	1	1	1	1	258	258
hCoV-19/USA/CA-CSMC56/2020|EPI_ISL_475669|2020-04-01	4/1/20	USA	North America	654	1	1	1	1	7	1	1	7	1	854	67
hCoV-19/USA/CA-CZB-1775/2020|EPI_ISL_476792|2020-04-01	4/1/20	USA	North America	5069	26	1	1	1	1	1	1	829	1	10520	300
hCoV-19/USA/CA-CSMC61/2020|EPI_ISL_475675|2020-04-01	4/1/20	USA	North America	7760	26	217	1	1	1	1	1	39	1	10531	300
hCoV-19/USA/CA-ALSR-0518-SAN/2020|EPI_ISL_483197|2020-04-01	4/1/20	USA	North America	918	26	25	16	1	1	1	1	1	1	1222	258
hCoV-19/USA/CA-CSMC35/2020|EPI_ISL_475646|2020-04-01	4/1/20	USA	North America	195	26	25	1	1	1	1	1	1	1	258	258
hCoV-19/USA/CA-CSMC60/2020|EPI_ISL_475674|2020-04-01	4/1/20	USA	North America	850	26	25	1	1	1	1	1	1	1	1123	258
hCoV-19/USA/CA-ALSR-0505-SAN/2020|EPI_ISL_483188|2020-04-01	4/1/20	USA	North America	7773	792	1	1	1	1	1	1	4	1	10550	10221
hCoV-19/USA/CA-CZB-1036/2020|EPI_ISL_436677|2020-04-02	4/2/20	USA	North America	2840	1	1	1	1	1	85	1	1	1	3904	4
hCoV-19/USA/CA-SR0224/2020|EPI_ISL_437576|2020-04-02	4/2/20	USA	North America	3030	1	1	1	1	1	1	3	1	1	4154	256
hCoV-19/USA/CA-CZB-1601/2020|EPI_ISL_468530|2020-04-02	4/2/20	USA	North America	5246	1	1	1	1	1	1	136	1	1	7176	NA
hCoV-19/USA/CA-CZB-1705/2020|EPI_ISL_468638|2020-04-02	4/2/20	USA	North America	5056	26	25	1	1	1	1	1	1	1	6901	258
hCoV-19/USA/CA-CZB-1330/2020|EPI_ISL_468358|2020-04-02	4/2/20	USA	North America	5258	1	446	1	1	1	1	3	1	1	7193	256
hCoV-19/USA/CA-CZB-1704/2020|EPI_ISL_468637|2020-04-02	4/2/20	USA	North America	5056	26	25	1	1	1	1	1	1	1	6901	258
hCoV-19/USA/CA-CZB-1700/2020|EPI_ISL_468634|2020-04-02	4/2/20	USA	North America	5056	26	25	1	1	1	1	1	1	1	6901	258
hCoV-19/USA/CA-SR0458/2020|EPI_ISL_467980|2020-04-02	4/2/20	USA	North America	5022	984	1	1	1	1	1	1	1	1	6869	255
hCoV-19/USA/CA-CZB-1283/2020|EPI_ISL_454641|2020-04-02	4/2/20	USA	North America	5022	984	1	1	1	1	1	1	599	1	7222	NA
hCoV-19/USA/CA-CSMC96/2020|EPI_ISL_475713|2020-04-02	4/2/20	USA	North America	850	1074	25	1	1	1	1	1	1	1	10552	258
