Isolate	Date	Country	Region	ORF1ab	Surface_glycoprotein	ORF3a	Envelope_protein	Membrane_glycoprotein	ORF6	ORF7a	ORF8	Nucleocapsid_phosphoprotein	ORF10	ST	CC
hCoV-19/USA/CA-ALSR-1088-SAN/2020|EPI_ISL_483515|2020-06-16	6/16/20	USA	North America	9976	792	738	1	1	1	1	1	4	1	13425	10221
hCoV-19/USA/CA-ALSR-1098-SAN/2020|EPI_ISL_483525|2020-06-17	6/17/20	USA	North America	9989	1873	741	1	1	1	1	1	39	1	13440	NA
hCoV-19/USA/CA-ALSR-1100-SAN/2020|EPI_ISL_483526|2020-06-17	6/17/20	USA	North America	9992	26	115	1	274	1	1	1	39	1	13443	1698
hCoV-19/USA/CA-ALSR-1101-SAN/2020|EPI_ISL_483527|2020-06-17	6/17/20	USA	North America	9996	792	15	1	1	1	1	1	4	1	13447	10221
hCoV-19/USA/CA-ALSR-1097-SAN/2020|EPI_ISL_483524|2020-06-18	6/18/20	USA	North America	10005	26	744	1	1	1	255	1	4	1	13456	NA
hCoV-19/USA/CA-ALSR-1096-SAN/2020|EPI_ISL_483523|2020-06-18	6/18/20	USA	North America	10006	26	1	1	275	1	1	238	39	1	13457	NA
hCoV-19/USA/CA-ALSR-1110-SAN/2020|EPI_ISL_483533|2020-06-18	6/18/20	USA	North America	9958	26	1	1	1	1	1	1	4	1	13404	498
hCoV-19/USA/CA-ALSR-1095-SAN/2020|EPI_ISL_483522|2020-06-18	6/18/20	USA	North America	10013	26	115	1	274	1	1	1	39	1	13465	NA
hCoV-19/USA/CA-ALSR-1093-SAN/2020|EPI_ISL_483520|2020-06-18	6/18/20	USA	North America	9958	26	1	1	1	1	1	1	4	1	13404	498
hCoV-19/USA/CA-ALSR-1104-SAN/2020|EPI_ISL_483529|2020-06-18	6/18/20	USA	North America	9958	26	1	1	1	1	218	32	4	1	13475	NA
hCoV-19/USA/CA-ALSR-1044-SAN/2020|EPI_ISL_483480|2020-06-19	6/19/20	USA	North America	10032	1881	1	1	1	1	1	1	4	1	13487	498
hCoV-19/USA/CA-ALSR-1094-SAN/2020|EPI_ISL_483521|2020-06-19	6/19/20	USA	North America	2372	1670	751	1	1	1	1	1	4	1	13491	NA
hCoV-19/USA/CA-ALSR-1058-SAN/2020|EPI_ISL_483489|2020-06-20	6/20/20	USA	North America	10042	1883	1	1	1	1	1	1	4	1	13498	498
hCoV-19/USA/CA-ALSR-1056-SAN/2020|EPI_ISL_483487|2020-06-20	6/20/20	USA	North America	10043	26	1	1	1	1	1	1	1049	1	13499	300
hCoV-19/USA/CA-ALSR-1060-SAN/2020|EPI_ISL_483491|2020-06-20	6/20/20	USA	North America	10046	26	1	1	1	1	1	1	4	1	13502	498
hCoV-19/USA/CA-ALSR-1057-SAN/2020|EPI_ISL_483488|2020-06-20	6/20/20	USA	North America	10049	593	520	1	1	1	1	14	1050	1	13505	NA
hCoV-19/USA/CA-ALSR-1059-SAN/2020|EPI_ISL_483490|2020-06-20	6/20/20	USA	North America	3852	26	752	1	1	1	1	1	1	1	13506	258
hCoV-19/USA/CA-ALSR-1063-SAN/2020|EPI_ISL_483494|2020-06-20	6/20/20	USA	North America	10050	26	25	1	1	1	1	1	1	1	13507	258
hCoV-19/USA/CA-ALSR-1062-SAN/2020|EPI_ISL_483493|2020-06-20	6/20/20	USA	North America	10051	792	1	1	1	17	1	1	1051	1	13508	NA
hCoV-19/USA/CA-ALSR-1061-SAN/2020|EPI_ISL_483492|2020-06-20	6/20/20	USA	North America	10057	1888	1	1	1	1	1	1	4	1	13514	498
hCoV-19/USA/CA-ALSR-1045-SAN/2020|EPI_ISL_483481|2020-06-21	6/21/20	USA	North America	10058	1889	1	1	1	1	1	1	1045	1	13515	NA
hCoV-19/USA/CA-ALSR-1038-SAN/2020|EPI_ISL_483477|2020-06-21	6/21/20	USA	North America	10059	26	361	1	1	1	1	1	1054	1	13516	NA
hCoV-19/USA/CA-ALSR-1042-SAN/2020|EPI_ISL_483479|2020-06-21	6/21/20	USA	North America	10060	1890	1	1	1	1	1	239	4	1	13517	NA
hCoV-19/USA/CA-ALSR-1049-SAN/2020|EPI_ISL_483482|2020-06-21	6/21/20	USA	North America	10061	1891	1	1	1	1	1	1	39	1	13518	300
hCoV-19/USA/CA-ALSR-1053-SAN/2020|EPI_ISL_483485|2020-06-21	6/21/20	USA	North America	10062	251	1	1	1	18	1	1	1055	1	13519	NA
hCoV-19/USA/CA-ALSR-1039-SAN/2020|EPI_ISL_483478|2020-06-21	6/21/20	USA	North America	10049	593	520	1	1	1	1	14	1050	1	13505	NA
hCoV-19/USA/CA-ALSR-1036-SAN/2020|EPI_ISL_483476|2020-06-21	6/21/20	USA	North America	10063	792	1	1	1	17	1	1	1051	1	13520	NA
hCoV-19/USA/CA-ALSR-1052-SAN/2020|EPI_ISL_483484|2020-06-21	6/21/20	USA	North America	10062	251	1	1	1	18	1	1	1055	1	13519	NA
hCoV-19/USA/CA-ALSR-1050-SAN/2020|EPI_ISL_483483|2020-06-21	6/21/20	USA	North America	9992	1892	115	1	274	1	1	1	1056	1	13521	NA
hCoV-19/USA/CA-ALSR-1072-SAN/2020|EPI_ISL_483500|2020-06-22	6/22/20	USA	North America	10064	1893	755	1	1	1	1	1	4	1	13522	NA
hCoV-19/USA/CA-ALSR-1082-SAN/2020|EPI_ISL_483509|2020-06-22	6/22/20	USA	North America	10065	1894	1	1	1	1	1	1	959	1	13523	NA
hCoV-19/USA/CA-ALSR-1066-SAN/2020|EPI_ISL_483496|2020-06-22	6/22/20	USA	North America	9958	26	1	1	1	1	1	1	4	1	13404	498
hCoV-19/USA/CA-ALSR-1070-SAN/2020|EPI_ISL_483499|2020-06-22	6/22/20	USA	North America	10068	725	25	1	1	1	1	1	1	1	13527	258
hCoV-19/USA/CA-ALSR-1067-SAN/2020|EPI_ISL_483497|2020-06-22	6/22/20	USA	North America	10049	593	520	1	1	1	1	14	1050	1	13505	NA
