Isolate	Date	Country	Region	ORF1ab	Surface_glycoprotein	ORF3a	Envelope_protein	Membrane_glycoprotein	ORF6	ORF7a	ORF8	Nucleocapsid_phosphoprotein	ORF10	ST	CC
hCoV-19/USA/CA-CZB-1029/2020|EPI_ISL_436670|2020-04-16	4/16/20	USA	North America	3491	1	252	1	1	1	1	1	1	1	4865	4
hCoV-19/USA/CA-ALSR-0766-SAN/2020|EPI_ISL_483345|2020-04-16	4/16/20	USA	North America	8352	26	25	1	1	1	1	1	1	1	11317	258
hCoV-19/USA/CA-ALSR-1022-SAN/2020|EPI_ISL_483468|2020-04-16	4/16/20	USA	North America	8367	26	1	1	240	1	1	1	4	1	11333	498
hCoV-19/USA/CA-ALSR-0773-SAN/2020|EPI_ISL_483349|2020-04-16	4/16/20	USA	North America	8045	1502	1	1	1	1	1	1	4	1	10896	498
hCoV-19/USA/CA-ALSR-1004-SAN/2020|EPI_ISL_483458|2020-04-17	4/17/20	USA	North America	3956	26	219	1	1	1	1	1	4	1	11264	498
hCoV-19/USA/CA-ALSR-0657-IPL/2020|EPI_ISL_483282|2020-04-17	4/17/20	USA	North America	231	792	1	1	1	93	1	1	4	1	11400	10221
hCoV-19/USA/CA-ALSR-1013-SAN/2020|EPI_ISL_483461|2020-04-17	4/17/20	USA	North America	195	26	25	1	1	1	1	2	1	1	3525	258
hCoV-19/USA/CA-CZB-1030/2020|EPI_ISL_436671|2020-04-18	4/18/20	USA	North America	3558	1	252	1	1	1	1	1	1	1	4856	4
hCoV-19/USA/CA-CZB-1650/2020|EPI_ISL_468594|2020-04-18	4/18/20	USA	North America	850	265	25	1	1	1	1	1	1	1	8085	258
hCoV-19/USA/CA-SR0448/2020|EPI_ISL_467972|2020-04-18	4/18/20	USA	North America	5937	26	25	1	1	1	1	71	579	1	8098	NA
hCoV-19/USA/CA-CZB-1652/2020|EPI_ISL_468596|2020-04-18	4/18/20	USA	North America	850	265	25	1	1	1	1	1	1	1	8085	258
hCoV-19/USA/CA-CZB-1654/2020|EPI_ISL_468598|2020-04-18	4/18/20	USA	North America	850	265	25	1	1	1	1	1	1	1	8085	258
hCoV-19/USA/CA-ALSR-0658-IPL/2020|EPI_ISL_483283|2020-04-18	4/18/20	USA	North America	8443	232	1	1	1	1	1	1	1	1	11445	255
hCoV-19/USA/CA-ALSR-0661-IPL/2020|EPI_ISL_483286|2020-04-18	4/18/20	USA	North America	8471	26	25	1	1	1	1	1	1	1	11483	258
hCoV-19/USA/CA-ALSR-0611-SAN/2020|EPI_ISL_483256|2020-04-18	4/18/20	USA	North America	8479	26	1	1	1	1	1	1	4	1	11495	498
hCoV-19/USA/CA-CZB-1458/2020|EPI_ISL_468419|2020-04-19	4/19/20	USA	North America	1362	26	25	1	1	1	1	1	168	1	1841	3530
hCoV-19/USA/CA-ALSR-1018-SAN/2020|EPI_ISL_483465|2020-04-19	4/19/20	USA	North America	8331	26	25	1	1	1	1	1	1	1	11287	258
hCoV-19/USA/CA-ALSR-1014-SAN/2020|EPI_ISL_483462|2020-04-19	4/19/20	USA	North America	3956	26	219	1	1	1	1	1	4	1	11264	498
hCoV-19/USA/CA-ALSR-1003-SAN/2020|EPI_ISL_483457|2020-04-19	4/19/20	USA	North America	8501	291	648	1	1	1	1	1	4	1	11522	NA
hCoV-19/USA/CA-ALSR-0609-SAN/2020|EPI_ISL_483254|2020-04-19	4/19/20	USA	North America	8508	26	1	1	1	1	1	1	39	1	11530	300
hCoV-19/USA/CA-ALSR-0663-IPL/2020|EPI_ISL_483288|2020-04-19	4/19/20	USA	North America	8512	792	212	1	1	1	1	1	4	1	11534	10221
hCoV-19/USA/CA-ALSR-1012-SAN/2020|EPI_ISL_483460|2020-04-19	4/19/20	USA	North America	8508	26	1	1	1	1	1	1	39	1	11530	300
