Isolate	Date	Country	Region	ORF1ab	Surface_glycoprotein	ORF3a	Envelope_protein	Membrane_glycoprotein	ORF6	ORF7a	ORF8	Nucleocapsid_phosphoprotein	ORF10	ST	CC
hCoV-19/USA/CA-SCCPHD-UC117/2020|EPI_ISL_435596|2020-03-04	3/4/20	USA	North America	362	1	1	1	1	1	2	1	1	1	474	4
hCoV-19/USA/CA-SCCPHD-UC16/2020|EPI_ISL_417320|2020-03-04	3/4/20	USA	North America	369	1	1	1	1	1	1	1	1	1	482	4
hCoV-19/USA/CA-SCCPHD-UC115/2020|EPI_ISL_435594|2020-03-04	3/4/20	USA	North America	375	1	1	1	1	1	1	1	1	1	490	4
hCoV-19/USA/CA-ALSR-0515-SAN/2020|EPI_ISL_483194|2020-03-04	3/4/20	USA	North America	1246	742	25	1	1	1	1	1	1	67	9742	NA
hCoV-19/USA/CA-CDPH-UC11/2020|EPI_ISL_413931|2020-03-05	3/5/20	USA	North America	389	103	1	1	1	1	1	3	1	1	507	NA
hCoV-19/USA/CA-SCCPHD-UC122/2020|EPI_ISL_435601|2020-03-05	3/5/20	USA	North America	4	1	1	1	1	1	1	1	1	1	4	4
hCoV-19/USA/CA-CDPH-UC9/2020|EPI_ISL_413928|2020-03-05	3/5/20	USA	North America	389	103	1	1	1	1	1	3	1	1	507	NA
hCoV-19/USA/CA-CDPH-UC7/2020|EPI_ISL_413925|2020-03-05	3/5/20	USA	North America	413	103	1	1	1	1	1	3	1	1	536	NA
hCoV-19/USA/CA-SCCPHD-UC130/2020|EPI_ISL_435609|2020-03-06	3/6/20	USA	North America	4	1	1	1	1	1	1	1	1	1	4	4
hCoV-19/USA/CA-SCCPHD-UC133/2020|EPI_ISL_435612|2020-03-07	3/7/20	USA	North America	4	1	1	1	19	1	1	1	1	1	641	4
hCoV-19/USA/CA-SR0460/2020|EPI_ISL_467982|2020-03-08	3/8/20	USA	North America	194	1	1	1	1	1	1	3	1	1	256	256
hCoV-19/USA/CA-SR0415/2020|EPI_ISL_467950|2020-03-08	3/8/20	USA	North America	194	1	1	1	1	1	1	3	1	1	256	256
hCoV-19/USA/CA-SCCPHD-UC142/2020|EPI_ISL_435621|2020-03-09	3/9/20	USA	North America	4	1	52	1	1	1	1	1	1	1	743	4
hCoV-19/USA/CA-SCCPHD-UC155/2020|EPI_ISL_435634|2020-03-10	3/10/20	USA	North America	4	1	1	1	1	1	1	1	1	1	4	4
hCoV-19/USA/CA-SCCPHD-UC148/2020|EPI_ISL_435627|2020-03-10	3/10/20	USA	North America	662	1	1	1	1	1	1	1	1	1	864	4
hCoV-19/USA/CA-SR0416/2020|EPI_ISL_467951|2020-03-10	3/10/20	USA	North America	194	112	1	1	1	1	1	3	1	1	623	623
hCoV-19/USA/CA-SR0449/2020|EPI_ISL_467973|2020-03-10	3/10/20	USA	North America	194	1	1	1	1	1	1	3	1	1	256	256
hCoV-19/USA/CA-PC101P/2020|EPI_ISL_414648|2020-03-11	3/11/20	USA	North America	690	26	1	1	1	1	1	1	1	1	902	255
hCoV-19/USA/CA_NHRC_01/2020|EPI_ISL_444994|2020-03-11	3/11/20	USA	North America	194	112	1	1	1	1	1	3	1	1	623	623
hCoV-19/USA/CA-SCCPHD-UC158/2020|EPI_ISL_435637|2020-03-11	3/11/20	USA	North America	725	1	1	1	1	1	1	1	1	1	949	4
hCoV-19/USA/CA-SCCPHD-UC152/2020|EPI_ISL_435631|2020-03-11	3/11/20	USA	North America	459	103	1	1	1	1	1	3	9	1	964	NA
hCoV-19/USA/CA-SCCPHD-UC157/2020|EPI_ISL_435636|2020-03-11	3/11/20	USA	North America	738	1	1	1	1	1	1	1	1	1	966	4
hCoV-19/USA/CA-SR0429/2020|EPI_ISL_467959|2020-03-11	3/11/20	USA	North America	195	26	25	1	1	1	1	1	1	1	258	258
hCoV-19/USA/CA-CZB-1768/2020|EPI_ISL_476785|2020-03-11	3/11/20	USA	North America	7239	1	4	1	1	1	1	1	1	1	9802	550
hCoV-19/USA/CA-SCCPHD-UC162/2020|EPI_ISL_435641|2020-03-12	3/12/20	USA	North America	4	1	67	1	1	1	1	1	1	1	1004	4
hCoV-19/USA/CA-SR0118/2020|EPI_ISL_445109|2020-03-12	3/12/20	USA	North America	764	1	31	1	1	1	1	1	7	1	1005	NA
hCoV-19/USA/CA-SCCPHD-UC160/2020|EPI_ISL_435639|2020-03-12	3/12/20	USA	North America	4	1	1	1	1	1	1	1	1	1	4	4
hCoV-19/USA/CA-SCCPHD-UC164/2020|EPI_ISL_435643|2020-03-12	3/12/20	USA	North America	377	61	1	1	1	1	1	1	1	1	1078	305
hCoV-19/USA/CA-SR0436/2020|EPI_ISL_467964|2020-03-12	3/12/20	USA	North America	4283	1	1	1	1	1	1	3	1	1	5827	256
hCoV-19/USA/CA-SR0097/2020|EPI_ISL_445096|2020-03-13	3/13/20	USA	North America	194	172	1	1	33	1	1	3	1	1	1133	256
hCoV-19/USA/CA-SCCPHD-UC175/2020|EPI_ISL_435654|2020-03-13	3/13/20	USA	North America	4	1	1	1	35	1	1	1	1	1	1146	4
hCoV-19/USA/CA-QDX-03/2020|EPI_ISL_444455|2020-03-13	3/13/20	USA	North America	892	1	1	1	1	1	1	3	1	19	1188	256
hCoV-19/USA/CA-CDPH-UC26/2020|EPI_ISL_417330|2020-03-13	3/13/20	USA	North America	195	26	25	1	1	1	1	1	1	1	258	258
