Isolate	Date	Country	Region	ORF1ab	Surface_glycoprotein	ORF3a	Envelope_protein	Membrane_glycoprotein	ORF6	ORF7a	ORF8	Nucleocapsid_phosphoprotein	ORF10	ST	CC
hCoV-19/USA/CA-SCCPHD-UC184/2020|EPI_ISL_435663|2020-03-16	3/16/20	USA	North America	486	99	92	1	1	1	1	1	40	1	1386	1179
hCoV-19/USA/CA-QDX-78/2020|EPI_ISL_467842|2020-03-16	3/16/20	USA	North America	528	887	48	1	1	1	1	3	1	1	5968	NA
hCoV-19/USA/CA-QDX-159/2020|EPI_ISL_467821|2020-03-16	3/16/20	USA	North America	918	888	25	16	1	1	1	1	1	1	5971	NA
hCoV-19/USA/CA-QDX-148/2020|EPI_ISL_467814|2020-03-16	3/16/20	USA	North America	4390	478	1	1	3	1	1	5	161	1	5972	1508
hCoV-19/USA/CA-QDX-138/2020|EPI_ISL_467813|2020-03-16	3/16/20	USA	North America	4	1	1	1	1	1	1	1	1	1	4	4
hCoV-19/USA/CA-QDX-40/2020|EPI_ISL_467831|2020-03-16	3/16/20	USA	North America	528	68	48	1	1	1	1	3	528	1	5975	NA
hCoV-19/USA/CA-QDX-153/2020|EPI_ISL_467815|2020-03-16	3/16/20	USA	North America	258	26	25	1	1	1	1	1	1	1	338	338
hCoV-19/USA/CA-SR0455/2020|EPI_ISL_467978|2020-03-16	3/16/20	USA	North America	194	112	1	1	1	1	1	3	1	1	623	623
hCoV-19/USA/CA-QDX-158/2020|EPI_ISL_467820|2020-03-16	3/16/20	USA	North America	918	888	25	16	1	1	1	1	1	1	5971	NA
hCoV-19/USA/CA-QDX-156/2020|EPI_ISL_467818|2020-03-16	3/16/20	USA	North America	4287	26	25	1	1	1	1	1	1	1	5831	258
hCoV-19/USA/CA-QDX-117/2020|EPI_ISL_467811|2020-03-16	3/16/20	USA	North America	692	26	1	1	1	1	1	1	454	1	5984	255
hCoV-19/USA/CA-QDX-162/2020|EPI_ISL_467824|2020-03-16	3/16/20	USA	North America	792	26	25	1	1	1	1	14	1	1	1043	768
hCoV-19/USA/CA-QDX-161/2020|EPI_ISL_467823|2020-03-16	3/16/20	USA	North America	4287	26	25	1	1	1	1	1	1	1	5831	258
hCoV-19/USA/CA-QDX-73/2020|EPI_ISL_467840|2020-03-16	3/16/20	USA	North America	194	112	1	1	1	1	1	3	1	1	623	623
hCoV-19/USA/CA-QDX-46/2020|EPI_ISL_467835|2020-03-16	3/16/20	USA	North America	4402	26	25	1	1	1	1	1	1	1	5991	258
hCoV-19/USA/CA-QDX-160/2020|EPI_ISL_467822|2020-03-16	3/16/20	USA	North America	792	26	25	1	1	1	1	14	1	1	1043	768
hCoV-19/USA/CA-QDX-155/2020|EPI_ISL_467817|2020-03-16	3/16/20	USA	North America	4407	1	1	1	1	1	1	3	532	1	5998	256
hCoV-19/USA/CA-QDX-44/2020|EPI_ISL_467833|2020-03-16	3/16/20	USA	North America	4413	26	25	1	1	1	1	1	1	1	6006	258
hCoV-19/USA/CA-SR0249/2020|EPI_ISL_437561|2020-03-17	3/17/20	USA	North America	1245	26	25	1	1	1	1	1	177	23	1681	NA
hCoV-19/USA/CA-SR0094/2020|EPI_ISL_445094|2020-03-17	3/17/20	USA	North America	1246	26	25	1	1	1	1	1	1	1	1682	258
hCoV-19/USA/CA-CZB-1418/2020|EPI_ISL_468392|2020-03-17	3/17/20	USA	North America	850	872	25	1	1	1	1	1	1	1	5840	258
hCoV-19/USA/CA-CZB-1420/2020|EPI_ISL_468393|2020-03-17	3/17/20	USA	North America	850	872	25	1	1	1	1	1	1	1	5840	258
hCoV-19/USA/CA-MG0987/2020|EPI_ISL_416457|2020-03-18	3/18/20	USA	North America	195	26	25	1	1	1	1	1	1	1	258	258
hCoV-19/USA/CA-CZB0458/2020|EPI_ISL_429007|2020-03-18	3/18/20	USA	North America	1313	1	1	1	1	1	1	1	1	1	1774	4
hCoV-19/USA/CA-CZB06/2020|EPI_ISL_417932|2020-03-18	3/18/20	USA	North America	792	26	25	1	1	1	1	14	1	1	1043	768
hCoV-19/USA/CA-SR0444/2020|EPI_ISL_467969|2020-03-18	3/18/20	USA	North America	4460	26	1	1	1	1	115	1	1	1	6073	255
hCoV-19/USA/CA-SR0424/2020|EPI_ISL_467955|2020-03-18	3/18/20	USA	North America	824	26	25	1	1	1	1	1	1	1	1088	258
hCoV-19/USA/CA-SR0418/2020|EPI_ISL_467952|2020-03-18	3/18/20	USA	North America	824	26	25	1	1	1	1	1	1	1	1088	258
hCoV-19/USA/CA-SR0177/2020|EPI_ISL_437600|2020-03-19	3/19/20	USA	North America	289	26	25	1	1	1	1	1	1	1	380	258
hCoV-19/USA/CA-SCCPHD-UC191/2020|EPI_ISL_435670|2020-03-19	3/19/20	USA	North America	4	1	1	1	1	1	1	1	1	1	4	4
hCoV-19/USA/CA-SR0258/2020|EPI_ISL_437554|2020-03-19	3/19/20	USA	North America	1246	26	25	1	59	1	1	1	1	1	2026	258
hCoV-19/USA/CA-SR0431/2020|EPI_ISL_467961|2020-03-19	3/19/20	USA	North America	1245	26	25	1	62	1	1	1	1	1	6105	258
hCoV-19/USA/CA-CZB-1417/2020|EPI_ISL_468391|2020-03-19	3/19/20	USA	North America	900	26	25	1	1	1	1	1	1	1	5949	258
hCoV-19/USA/CA-UCSF-UC44/2020|EPI_ISL_450236|2020-03-19	3/19/20	USA	North America	195	26	25	1	1	1	1	1	1	15	2553	258
hCoV-19/USA/CA-UCSF-UC45/2020|EPI_ISL_450237|2020-03-19	3/19/20	USA	North America	1906	26	1	1	14	1	1	1	39	1	2609	369
hCoV-19/USA/CA-CZB-1271/2020|EPI_ISL_454608|2020-03-19	3/19/20	USA	North America	915	26	25	1	1	1	1	1	1	1	1218	258
hCoV-19/USA/CA-CZB-1757/2020|EPI_ISL_476774|2020-03-19	3/19/20	USA	North America	4	1	1	1	1	1	61	1	1	1	9973	4
hCoV-19/USA/CA-CZB-1758/2020|EPI_ISL_476775|2020-03-19	3/19/20	USA	North America	195	26	25	1	1	1	1	1	1	1	258	258
hCoV-19/USA/CA-SR0178/2020|EPI_ISL_437599|2020-03-20	3/20/20	USA	North America	534	342	25	1	1	1	1	1	1	1	2085	258
hCoV-19/USA/CA-SR0257/2020|EPI_ISL_437555|2020-03-20	3/20/20	USA	North America	1246	26	25	1	1	1	1	1	1	1	1682	258
hCoV-19/USA/CA-CZB-1228/2020|EPI_ISL_450477|2020-03-20	3/20/20	USA	North America	846	203	1	1	1	1	1	3	14	1	1118	9734
hCoV-19/USA/CA-CZB-1230/2020|EPI_ISL_450479|2020-03-20	3/20/20	USA	North America	4515	26	25	1	1	1	1	1	139	1	6158	258
hCoV-19/USA/CA-CZB-1219/2020|EPI_ISL_450468|2020-03-20	3/20/20	USA	North America	4517	1	1	1	1	1	1	1	1	1	6160	4
hCoV-19/USA/CA-CZB-1424/2020|EPI_ISL_468396|2020-03-20	3/20/20	USA	North America	4526	26	25	1	1	1	1	1	1	1	6177	258
hCoV-19/USA/CA-UCSF-UC48/2020|EPI_ISL_450240|2020-03-20	3/20/20	USA	North America	791	26	25	1	1	1	1	1	1	1	1040	258
hCoV-19/USA/CA-CZB-1220/2020|EPI_ISL_450469|2020-03-20	3/20/20	USA	North America	195	26	25	1	1	1	1	1	1	1	258	258
hCoV-19/USA/CA-CZB-1423/2020|EPI_ISL_468395|2020-03-20	3/20/20	USA	North America	4526	26	25	1	1	1	1	1	1	1	6177	258
hCoV-19/USA/CA-CZB-1226/2020|EPI_ISL_450475|2020-03-20	3/20/20	USA	North America	4	1	1	1	1	1	1	1	1	1	4	4
hCoV-19/USA/CA-UCSF-UC47/2020|EPI_ISL_450239|2020-03-20	3/20/20	USA	North America	4544	26	258	1	1	1	1	1	4	1	6202	498
hCoV-19/USA/CA-CZB-1225/2020|EPI_ISL_450474|2020-03-20	3/20/20	USA	North America	195	26	25	1	1	1	1	1	1	1	258	258
hCoV-19/USA/CA-CZB-1756/2020|EPI_ISL_476773|2020-03-20	3/20/20	USA	North America	4	1	1	1	1	1	1	1	1	1	4	4
hCoV-19/USA/CA-SR0248/2020|EPI_ISL_437562|2020-03-21	3/21/20	USA	North America	195	26	25	1	1	1	1	1	1	1	258	258
hCoV-19/USA/CA-SR0310/2020|EPI_ISL_445164|2020-03-21	3/21/20	USA	North America	1245	26	25	1	1	1	1	1	1	1	2285	258
hCoV-19/USA/CA-SR007/2020|EPI_ISL_429990|2020-03-21	3/21/20	USA	North America	1695	26	25	1	1	1	1	61	1	1	2305	258
hCoV-19/USA/CA-SCCPHD-UC192/2020|EPI_ISL_435671|2020-03-21	3/21/20	USA	North America	4	1	149	1	1	28	1	1	1	1	2354	4
hCoV-19/USA/CA-SR0445/2020|EPI_ISL_467970|2020-03-21	3/21/20	USA	North America	194	112	1	1	1	1	1	3	1	1	623	623
hCoV-19/USA/CA-CZB-1222/2020|EPI_ISL_450471|2020-03-21	3/21/20	USA	North America	4567	1	1	1	1	1	1	1	1	1	6232	4
hCoV-19/USA/CA-CZB-1427/2020|EPI_ISL_468398|2020-03-21	3/21/20	USA	North America	824	26	25	1	1	1	1	1	1	1	1088	258
hCoV-19/USA/CA-CZB-1224/2020|EPI_ISL_450473|2020-03-21	3/21/20	USA	North America	194	1	1	1	1	1	1	3	1	1	256	256
hCoV-19/USA/CA-SR0438/2020|EPI_ISL_467965|2020-03-21	3/21/20	USA	North America	1695	26	25	1	1	1	1	61	1	1	2305	258
hCoV-19/USA/CA-SR0250/2020|EPI_ISL_437560|2020-03-22	3/22/20	USA	North America	824	26	25	1	1	1	1	1	1	1	1088	258
hCoV-19/USA/CA-SR0201/2020|EPI_ISL_437583|2020-03-22	3/22/20	USA	North America	195	26	25	1	1	1	1	1	1	1	258	258
hCoV-19/USA/CA-SR0182/2020|EPI_ISL_437595|2020-03-22	3/22/20	USA	North America	850	26	25	1	1	1	1	1	1	1	1123	258
hCoV-19/USA/CA-SR0312/2020|EPI_ISL_445166|2020-03-22	3/22/20	USA	North America	769	26	1	1	13	1	1	1	1	1	2473	NA
hCoV-19/USA/CA-CSMC103/2020|EPI_ISL_475578|2020-03-22	3/22/20	USA	North America	7412	26	25	1	1	1	1	1	1	1	10028	258
hCoV-19/USA/CA-CSMC99/2020|EPI_ISL_475716|2020-03-22	3/22/20	USA	North America	7419	26	25	1	1	1	194	1	116	1	10037	NA
hCoV-19/USA/CA-CZB0713/2020|EPI_ISL_429022|2020-03-23	3/23/20	USA	North America	1845	26	1	1	1	1	1	1	39	1	2525	300
hCoV-19/USA/CA-SR0193/2020|EPI_ISL_437588|2020-03-23	3/23/20	USA	North America	932	26	25	1	1	1	1	1	1	1	2531	258
hCoV-19/USA/CA-CZB0705/2020|EPI_ISL_429024|2020-03-23	3/23/20	USA	North America	195	26	25	1	1	1	1	1	1	15	2553	258
hCoV-19/USA/CA-CZB0716/2020|EPI_ISL_430792|2020-03-23	3/23/20	USA	North America	1875	404	168	1	1	1	1	64	1	1	2567	NA
hCoV-19/USA/CA-CZB0709/2020|EPI_ISL_429016|2020-03-23	3/23/20	USA	North America	1876	26	25	1	1	1	1	1	110	1	2568	258
hCoV-19/USA/CA-CZB0701/2020|EPI_ISL_429040|2020-03-23	3/23/20	USA	North America	1889	1	1	1	1	1	1	3	1	1	2586	256
hCoV-19/USA/CA-CZB0707/2020|EPI_ISL_429038|2020-03-23	3/23/20	USA	North America	1906	26	1	1	14	1	1	1	39	1	2609	369
hCoV-19/USA/CA-CZB0703/2020|EPI_ISL_428994|2020-03-23	3/23/20	USA	North America	245	26	1	1	1	1	1	45	39	1	2633	317
hCoV-19/USA/CA-CZB0710/2020|EPI_ISL_429042|2020-03-23	3/23/20	USA	North America	1937	408	25	1	1	1	1	14	1	1	2653	NA
hCoV-19/USA/CA-SR0184/2020|EPI_ISL_437594|2020-03-23	3/23/20	USA	North America	195	418	25	1	1	1	1	1	1	1	2686	258
hCoV-19/USA/CA-CDC-0139/2020|EPI_ISL_447886|2020-03-23	3/23/20	USA	North America	4612	1	1	1	1	1	1	1	1	1	6290	4
hCoV-19/USA/CA-SR0347/2020|EPI_ISL_450191|2020-03-23	3/23/20	USA	North America	1245	26	25	1	1	1	1	1	1	1	2285	258
hCoV-19/USA/CA-CZB-1432/2020|EPI_ISL_468402|2020-03-23	3/23/20	USA	North America	4616	26	25	1	1	1	1	14	1	1	6295	768
hCoV-19/USA/CA-CZB-1428/2020|EPI_ISL_468399|2020-03-23	3/23/20	USA	North America	850	872	25	1	1	1	1	1	1	1	5840	258
hCoV-19/USA/CA-CZB-1208/2020|EPI_ISL_450457|2020-03-23	3/23/20	USA	North America	4632	1	1	1	1	1	1	3	1	1	6317	256
hCoV-19/USA/CA-CZB-1770/2020|EPI_ISL_476787|2020-03-23	3/23/20	USA	North America	195	26	25	1	1	1	1	1	1	1	258	258
hCoV-19/USA/CA-CZB-1755/2020|EPI_ISL_476772|2020-03-23	3/23/20	USA	North America	4	1	1	1	1	1	1	1	1	1	4	4
hCoV-19/USA/CA-SR0197/2020|EPI_ISL_437586|2020-03-24	3/24/20	USA	North America	1990	26	178	1	1	1	1	1	1	1	2722	258
hCoV-19/USA/CA-SR0181/2020|EPI_ISL_437596|2020-03-24	3/24/20	USA	North America	52	422	1	1	1	1	1	1	1	1	2736	255
hCoV-19/USA/CA-SR0245/2020|EPI_ISL_437564|2020-03-24	3/24/20	USA	North America	195	26	25	1	1	1	1	1	1	1	258	258
hCoV-19/USA/CA-SR016/2020|EPI_ISL_430016|2020-03-24	3/24/20	USA	North America	2031	1	1	29	1	1	1	1	1	1	2772	4
hCoV-19/USA/CA-SR0192/2020|EPI_ISL_437589|2020-03-24	3/24/20	USA	North America	1245	26	25	1	1	1	1	1	1	1	2285	258
hCoV-19/USA/CA-SR0240/2020|EPI_ISL_437566|2020-03-24	3/24/20	USA	North America	2071	26	25	1	1	1	1	1	275	1	2830	258
hCoV-19/USA/CA-SR017/2020|EPI_ISL_429991|2020-03-24	3/24/20	USA	North America	52	26	1	1	1	1	1	1	39	1	300	300
hCoV-19/USA/CA-SR0111/2020|EPI_ISL_445105|2020-03-24	3/24/20	USA	North America	2077	26	25	1	1	1	1	1	1	1	2839	258
hCoV-19/USA/CA-CZB-1217/2020|EPI_ISL_450466|2020-03-24	3/24/20	USA	North America	52	759	1	1	1	1	1	1	39	1	6334	300
hCoV-19/USA/CA-CZB-1218/2020|EPI_ISL_450467|2020-03-24	3/24/20	USA	North America	195	26	25	1	1	1	1	1	1	1	258	258
hCoV-19/USA/CA-CZB-1433/2020|EPI_ISL_468403|2020-03-24	3/24/20	USA	North America	4658	26	1	1	1	1	1	1	552	1	6352	NA
hCoV-19/USA/CA-CZB-1216/2020|EPI_ISL_450465|2020-03-24	3/24/20	USA	North America	195	26	25	1	1	1	1	1	1	1	258	258
hCoV-19/USA/CA-SR0426/2020|EPI_ISL_467957|2020-03-24	3/24/20	USA	North America	195	26	25	1	1	1	1	1	1	1	258	258
hCoV-19/USA/CA-CSMC14/2020|EPI_ISL_475618|2020-03-24	3/24/20	USA	North America	7451	26	25	1	1	1	156	1	1	1	10088	258
hCoV-19/USA/CA-CZB030/2020|EPI_ISL_429017|2020-03-25	3/25/20	USA	North America	2098	26	25	1	72	1	1	1	1	1	2866	258
hCoV-19/USA/CA-CZB043/2020|EPI_ISL_429048|2020-03-25	3/25/20	USA	North America	499	4	1	1	3	1	11	5	1	1	645	645
hCoV-19/USA/CA-CZB046/2020|EPI_ISL_429001|2020-03-25	3/25/20	USA	North America	2122	1	1	1	1	1	1	1	1	1	2901	4
hCoV-19/USA/CA-SR0179/2020|EPI_ISL_437598|2020-03-25	3/25/20	USA	North America	1246	441	25	1	1	1	1	1	1	1	2905	258
hCoV-19/USA/CA-CZB-1124/2020|EPI_ISL_445172|2020-03-25	3/25/20	USA	North America	2131	1	1	1	1	1	1	3	1	1	2913	256
hCoV-19/USA/CA-CZB015b/2020|EPI_ISL_428997|2020-03-25	3/25/20	USA	North America	194	1	1	1	1	1	1	3	1	1	256	256
hCoV-19/USA/CA-SR0115/2020|EPI_ISL_445107|2020-03-25	3/25/20	USA	North America	195	26	25	1	1	1	1	1	1	1	258	258
hCoV-19/USA/CA-CZB042/2020|EPI_ISL_429035|2020-03-25	3/25/20	USA	North America	195	26	25	1	1	1	1	1	287	1	2941	258
hCoV-19/USA/CA-CZB016/2020|EPI_ISL_429012|2020-03-25	3/25/20	USA	North America	2183	1	1	1	1	1	1	1	1	1	2988	4
hCoV-19/USA/CA-CZB09/2020|EPI_ISL_429037|2020-03-25	3/25/20	USA	North America	2187	26	25	1	1	1	1	14	1	1	2992	768
hCoV-19/USA/CA-CZB039/2020|EPI_ISL_429045|2020-03-25	3/25/20	USA	North America	194	1	1	1	1	1	1	3	1	1	256	256
hCoV-19/USA/CA-SR0259/2020|EPI_ISL_437553|2020-03-25	3/25/20	USA	North America	1103	26	25	1	1	1	1	1	1	1	1531	258
hCoV-19/USA/CA-CZB036/2020|EPI_ISL_429039|2020-03-25	3/25/20	USA	North America	194	1	1	1	1	1	1	3	1	1	256	256
hCoV-19/USA/CA-CZB045/2020|EPI_ISL_429021|2020-03-25	3/25/20	USA	North America	528	1	48	1	1	1	1	3	1	1	680	256
hCoV-19/USA/CA-CZB-1435/2020|EPI_ISL_468405|2020-03-25	3/25/20	USA	North America	850	872	25	1	1	1	1	1	1	1	5840	258
hCoV-19/USA/CA-CZB-1205/2020|EPI_ISL_450454|2020-03-25	3/25/20	USA	North America	1351	26	1	1	49	1	1	1	39	1	1824	300
hCoV-19/USA/CA-SR0413/2020|EPI_ISL_458283|2020-03-25	3/25/20	USA	North America	195	26	25	1	1	1	1	1	1	1	258	258
hCoV-19/USA/CA-CZB-1211/2020|EPI_ISL_450460|2020-03-25	3/25/20	USA	North America	4713	57	4	1	1	1	1	1	1	1	6427	NA
hCoV-19/USA/CA-CZB-1214/2020|EPI_ISL_450463|2020-03-25	3/25/20	USA	North America	4716	26	241	1	1	1	1	1	1	1	6434	258
hCoV-19/USA/CA-CZB-1213/2020|EPI_ISL_450462|2020-03-25	3/25/20	USA	North America	4716	26	241	1	1	1	1	1	1	1	6434	258
hCoV-19/USA/CA-CSMC20/2020|EPI_ISL_475630|2020-03-25	3/25/20	USA	North America	7461	1	1	28	1	1	1	3	1	1	10103	256
hCoV-19/USA/CA-CSMC29/2020|EPI_ISL_475639|2020-03-25	3/25/20	USA	North America	195	26	25	1	1	1	1	1	139	1	1280	258
hCoV-19/USA/CA-CSMC19/2020|EPI_ISL_475628|2020-03-25	3/25/20	USA	North America	7464	26	25	1	1	1	1	1	1	1	10106	258
hCoV-19/USA/CA-CSMC28/2020|EPI_ISL_475638|2020-03-25	3/25/20	USA	North America	850	26	25	1	1	1	1	1	1	1	1123	258
hCoV-19/USA/CA-CSMC21/2020|EPI_ISL_475631|2020-03-25	3/25/20	USA	North America	7470	1423	25	1	1	1	1	1	805	1	10112	NA
hCoV-19/USA/CA-CSMC26/2020|EPI_ISL_475636|2020-03-25	3/25/20	USA	North America	4	1	1	1	1	1	1	1	1	1	4	4
hCoV-19/USA/CA-CSMC18/2020|EPI_ISL_475627|2020-03-25	3/25/20	USA	North America	7471	26	25	1	1	1	1	1	1	1	10113	258
hCoV-19/USA/CA-CSMC25/2020|EPI_ISL_475635|2020-03-25	3/25/20	USA	North America	4	1	1	1	1	1	1	1	1	1	4	4
hCoV-19/USA/CA-CSMC22/2020|EPI_ISL_475632|2020-03-25	3/25/20	USA	North America	245	26	1	1	1	1	1	1	39	1	317	317
hCoV-19/USA/CA-CSMC23/2020|EPI_ISL_475633|2020-03-25	3/25/20	USA	North America	52	26	1	1	1	1	1	1	1	1	255	255
hCoV-19/USA/CA-CSMC24/2020|EPI_ISL_475634|2020-03-25	3/25/20	USA	North America	7487	26	1	1	1	1	1	1	39	1	10133	300
hCoV-19/USA/CA-CSMC30/2020|EPI_ISL_475641|2020-03-25	3/25/20	USA	North America	646	26	25	1	1	1	1	1	1	1	844	844
hCoV-19/USA/CA-CZB-1751/2020|EPI_ISL_476768|2020-03-25	3/25/20	USA	North America	194	112	1	1	1	1	1	3	116	1	3481	623
hCoV-19/USA/CA-SR0252/2020|EPI_ISL_437559|2020-03-26	3/26/20	USA	North America	2218	26	25	1	1	1	1	1	304	1	3042	258
hCoV-19/USA/CA-SR0119/2020|EPI_ISL_445110|2020-03-26	3/26/20	USA	North America	2230	26	193	1	1	1	1	1	1	1	3054	258
hCoV-19/USA/CA-SR0120/2020|EPI_ISL_445111|2020-03-26	3/26/20	USA	North America	2239	26	196	1	1	1	1	1	1	1	3067	258
hCoV-19/USA/CA-SR0256/2020|EPI_ISL_437556|2020-03-26	3/26/20	USA	North America	195	26	199	1	1	1	1	1	1	1	3073	258
hCoV-19/USA/CA-CZB-1202/2020|EPI_ISL_450451|2020-03-26	3/26/20	USA	North America	4781	26	1	1	1	1	1	29	39	1	6520	1208
hCoV-19/USA/CA-SR0425/2020|EPI_ISL_467956|2020-03-26	3/26/20	USA	North America	363	1	26	1	1	1	1	3	1	1	475	266
